id,nombre,rut,sexo,edad,clasificacion,unidad,tipo_licencia,vehículo
91,Keith Mccall,53511335-1,mujer,40,,,auto,52
122,Darragh Foreman,44770429-3,mujer,21,,,auto,58
616,Alaw Ferrell,38895795-6,hombre,37,,,moto,63
84,Mary Manning,53234460-3,mujer,30,,,no es necesaria,82
768,Tiffany Cantu,66714421-3,hombre,26,,,auto,56
350,Oran Valdez,21672114-4,hombre,31,,,moto,15
21,Darcie-Mae Hutton,99116865-6,hombre,37,,,auto,31
414,Omari Fuller,48459253-5,hombre,27,,,auto,12
555,Deen Smyth,80438756-0,hombre,21,,,no es necesaria,96
70,Milena Bright,12957899-8,hombre,37,vendedor,45,,
813,Aiden Arnold,36304600-2,hombre,37,,,moto,111
467,Cally Hopper,38578737-5,mujer,30,,,moto,92
309,Harriette Hubbard,44840159-6,mujer,24,,,no es necesaria,82
644,Serenity Rossi,46930527-9,mujer,23,,,vehiculo de carga,65
689,Keagan Hope,91957637-5,hombre,33,,,auto,18
34,Cem Buckley,54801563-4,hombre,30,,,auto,28
552,Genevieve Booth,85743167-7,mujer,19,,,no es necesaria,34
383,Nichole Savage,16315937-6,hombre,26,,,no es necesaria,16
327,Darsh Macias,36692442-6,mujer,20,,,vehiculo de carga,86
577,Ariyah Mckeown,91995839-1,hombre,28,,,no es necesaria,53
167,Edward Truong,44060880-9,mujer,27,,,no es necesaria,53
479,Carter Plummer,27003910-3,hombre,25,,,auto,114
376,Rianne Coleman,87548946-1,mujer,36,,,auto,46
728,Karol Knights,23047484-2,mujer,26,,,no es necesaria,108
321,Izabella Bate,63699218-6,mujer,19,,,auto,99
408,Maiya Villa,20789297-1,mujer,48,vendedor,48,,
753,Asha Guthrie,92390198-1,hombre,37,,,moto,24
186,Tyrell Clay,23970806-4,hombre,47,ti,5,,
441,Fahad Travers,56474633-9,hombre,24,,,moto,9
652,Lori Forrest,69822376-6,hombre,29,,,auto,38
289,Lois Charlton,58366562-5,mujer,29,,,moto,11
758,Junior Bryant,25919808-9,mujer,27,,,auto,66
540,Massimo Needham,66199699-4,hombre,26,,,no es necesaria,112
432,Elle Lindsay,97404549-4,hombre,38,,,auto,33
163,Callie Collier,80843691-4,hombre,29,ti,48,,
823,Nevaeh Gill,88667817-7,mujer,30,,,vehiculo de carga,86
444,Joseff Peters,20467855-3,hombre,20,,,vehiculo de carga,23
99,Nathanael Carlson,70733075-9,hombre,24,,,auto,109
454,Patrik Dodson,52650167-5,mujer,45,asistente de aseo,30,,
525,Muneeb Huff,57041868-8,mujer,34,,,auto,39
232,Alyce Kirkpatrick,42678415-7,mujer,33,,,auto,41
183,Reyansh Mccormick,86367440-9,mujer,29,,,no es necesaria,21
1,Summer Clements,13993032-0,hombre,29,,,moto,89
758,Junior Bryant,25919808-9,mujer,27,,,moto,111
103,Petra Sharp,78156640-3,hombre,24,,,vehiculo de carga,26
345,Enid Flower,77785207-8,hombre,31,,,auto,43
670,Tasmin Crossley,75020925-4,hombre,22,,,moto,27
521,Jaheim William,37117213-0,hombre,32,,,moto,91
813,Aiden Arnold,36304600-2,hombre,37,,,moto,92
292,Cleo Goodwin,29950437-9,hombre,49,ti,19,,
533,Ffion Allison,70202613-k,hombre,38,vendedor,28,,
44,Alys Schwartz,33298524-8,mujer,36,,,auto,7
658,Hayden Turnbull,56930255-2,hombre,30,,,moto,10
403,Cyrus Fountain,98296705-8,mujer,21,,,no es necesaria,108
785,Nasir Jenkins,45273848-1,hombre,27,,,auto,100
318,Martina Betts,41266992-4,mujer,30,,,auto,7
273,Dania Love,16836029-0,hombre,27,,,no es necesaria,21
93,Tiffany May,53747213-8,mujer,21,,,vehiculo de carga,65
341,Evie-Grace Middleton,36706688-1,mujer,47,ti,1,,
625,Darryl Carlson,28673876-1,hombre,27,,,auto,59
280,Evelina Dickerson,13068977-9,hombre,46,ti,43,,
536,Dionne Dowling,17167867-6,hombre,20,,,moto,11
